"candidate_id","pick_id","owner_id","scoring_run_id","ownership_timestamp","ownership_complete","owner_state"
"56112e16-56f8-41d6-9eab-40a99ca91b97","28508b50-f754-4a6c-aac2-d67f7be9621f","","","","false","unknown"
"8385103e-0730-4af8-86a0-389c3ad500d9","","","","","false","unknown"
"11868476-1846-4286-85fa-d00d277ebb01","","","","","false","unknown"
"e640cb50-f389-4c29-9ec6-e7767270f11c","58136658-ebe0-4ea1-9a47-720ba986fac2","","","","false","unknown"
"68578caa-eb27-4ca8-859e-6d158c122fbc","dda69005-2a1b-4cdf-a883-2a52accdafd3","","","","false","unknown"
"a0de87e7-9e56-4f52-ad4f-c97051e56421","27133b2e-1e2f-4060-90b1-f2558efc18bc","","","","false","unknown"
"98fea090-611d-4ce8-8fe8-b18fd7688374","0091c5dd-5239-40fa-9269-170f9d26b1d4","","","","false","unknown"
"ab923b74-820a-4db8-922e-38dc5db44197","7ea40acc-ce07-4504-b5da-8c1f2ac58564","","","","false","unknown"
"017d8754-e551-4650-91dd-e5063005e92a","5792a732-d422-4735-bc14-499e5c6bfd29","","","","false","unknown"
"3549dd03-ffc7-40a7-846e-c04791e5ab46","","","","","false","unknown"
"332c1b5e-d781-4ae1-a69b-fb00d0c80f3e","","","","","false","unknown"
"1c11327e-d30c-4f13-9a17-814f5a7e5f10","","","","","false","unknown"
"02ba5fd2-dad2-4b03-b986-a9606b158ce6","1f5b4891-5161-4741-b18c-65acd5e2f7e4","","","","false","unknown"
"9800bb64-e084-4fc4-875e-a2eeefa0a7f0","372ec9f6-8559-4073-886c-f95ac9c30afb","","","","false","unknown"
"8c1b23f7-7bd4-49cb-a55a-11336a336837","1e382260-054b-440b-83f5-10332ed2e305","","","","false","unknown"
"176c34db-e57c-4505-a423-4885255636ae","","","","","false","unknown"
"e8e73dd1-744c-4452-a27c-4450772db61d","","","","","false","unknown"
"5dfad095-bb58-47da-b0d1-4de3b89be719","","","","","false","unknown"
"8b03fb56-3e98-4321-b9ce-6240c4bd73e6","","","","","false","unknown"
